id,group,unique,value
Prostate,East of England,East of England,97.1
Prostate,Wessex,Wessex,97.1
Prostate,West Midlands,West Midlands,97
Prostate,North East and Cumbria,North East and Cumbria,96.8
Prostate,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",96.7
Prostate,Thames Valley,Thames Valley,96.7
Breast,Thames Valley,Thames Valley,96.5
Breast,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",96.4
Breast,Surrey and Sussex,Surrey and Sussex,96.4
Prostate,"Humber, Coast and Vale","Humber, Coast and Vale",96.4
Prostate,Peninsula,Peninsula,96.4
Prostate,East Midlands,East Midlands,96.3
Prostate,Surrey and Sussex,Surrey and Sussex,96.3
Breast,Peninsula,Peninsula,96.2
Prostate,Kent and Medway,Kent and Medway,96.1
Prostate,Lancashire and South Cumbria,Lancashire and South Cumbria,96.1
Prostate,North Central and North East London,North Central and North East London,96.1
Prostate,North West and South West London,North West and South West London,96.1
Prostate,South East London,South East London,96.1
Prostate,West Yorkshire and Harrogate,West Yorkshire and Harrogate,96.1
Breast,East of England,East of England,96
Breast,Wessex,Wessex,96
Prostate,Cheshire and Merseyside,Cheshire and Merseyside,96
Breast,North West and South West London,North West and South West London,95.8
Breast,West Midlands,West Midlands,95.8
Breast,"Humber, Coast and Vale","Humber, Coast and Vale",95.7
Breast,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",95.7
Breast,West Yorkshire and Harrogate,West Yorkshire and Harrogate,95.7
Prostate,Greater Manchester,Greater Manchester,95.7
Breast,East Midlands,East Midlands,95.6
Breast,North East and Cumbria,North East and Cumbria,95.6
Breast,Cheshire and Merseyside,Cheshire and Merseyside,95.5
Breast,Greater Manchester,Greater Manchester,95.4
Prostate,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",95.4
Breast,Lancashire and South Cumbria,Lancashire and South Cumbria,95.3
Breast,South East London,South East London,95.3
Breast,Kent and Medway,Kent and Medway,94.9
Breast,North Central and North East London,North Central and North East London,94.8
Uterus,"Humber, Coast and Vale","Humber, Coast and Vale",92.1
Uterus,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",91.2
Uterus,Peninsula,Peninsula,90.8
Uterus,Lancashire and South Cumbria,Lancashire and South Cumbria,90.6
Uterus,East Midlands,East Midlands,90.4
Uterus,Surrey and Sussex,Surrey and Sussex,90.4
Uterus,Wessex,Wessex,90.2
Uterus,West Midlands,West Midlands,89.8
Uterus,West Yorkshire and Harrogate,West Yorkshire and Harrogate,89.8
Uterus,Greater Manchester,Greater Manchester,89.3
Uterus,North West and South West London,North West and South West London,89.3
Uterus,Cheshire and Merseyside,Cheshire and Merseyside,89
Uterus,East of England,East of England,88.9
Uterus,North East and Cumbria,North East and Cumbria,88.8
Uterus,Kent and Medway,Kent and Medway,88.7
Uterus,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",88.7
Uterus,Thames Valley,Thames Valley,88.4
Uterus,North Central and North East London,North Central and North East London,87.3
Uterus,South East London,South East London,87.3
Cervix,South East London,South East London,86.5
Rectal,"Humber, Coast and Vale","Humber, Coast and Vale",86.4
Myeloma,North West and South West London,North West and South West London,86.2
Rectal,Peninsula,Peninsula,86.1
Rectal,Thames Valley,Thames Valley,86.1
Rectal,Wessex,Wessex,86.1
Rectal,"Humber, Coast and Vale","Humber, Coast and Vale",85.8
Myeloma,East Midlands,East Midlands,85.7
Myeloma,East Midlands,East Midlands,85.5
Cervix,North West and South West London,North West and South West London,85.1
Myeloma,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",85.1
Cervix,Peninsula,Peninsula,85
Rectal,North West and South West London,North West and South West London,84.8
Rectal,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",84.8
Rectal,Surrey and Sussex,Surrey and Sussex,84.8
Rectal,Kent and Medway,Kent and Medway,84.7
Rectal,Peninsula,Peninsula,84.7
Cervix,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",84.7
Rectal,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",84.6
Myeloma,Surrey and Sussex,Surrey and Sussex,84.6
Rectal,East of England,East of England,84.3
Kidney & Urinary Tract,North West and South West London,North West and South West London,84.2
Myeloma,North West and South West London,North West and South West London,84.1
Kidney & Urinary Tract,North West and South West London,North West and South West London,84
Non-Hodgkin Lymphoma,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",83.9
Myeloma,North Central and North East London,North Central and North East London,83.8
Myeloma,Cheshire and Merseyside,Cheshire and Merseyside,83.8
Myeloma,South East London,South East London,83.8
Rectal,North West and South West London,North West and South West London,83.7
Non-Hodgkin Lymphoma,Wessex,Wessex,83.5
Rectal,South East London,South East London,83.5
Rectal,North East and Cumbria,North East and Cumbria,83.4
Myeloma,Wessex,Wessex,83.3
Rectal,East of England,East of England,83.1
Non-Hodgkin Lymphoma,Peninsula,Peninsula,83.1
Rectal,West Yorkshire and Harrogate,West Yorkshire and Harrogate,83.1
Myeloma,North Central and North East London,North Central and North East London,83
Rectal,North Central and North East London,North Central and North East London,83
Rectal,Cheshire and Merseyside,Cheshire and Merseyside,82.9
Myeloma,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",82.9
Rectal,West Midlands,West Midlands,82.9
Non-Hodgkin Lymphoma,North West and South West London,North West and South West London,82.8
Rectal,Greater Manchester,Greater Manchester,82.8
Rectal,Kent and Medway,Kent and Medway,82.8
Rectal,West Yorkshire and Harrogate,West Yorkshire and Harrogate,82.8
Rectal,Cheshire and Merseyside,Cheshire and Merseyside,82.7
Myeloma,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",82.6
Myeloma,East of England,East of England,82.5
Cervix,Lancashire and South Cumbria,Lancashire and South Cumbria,82.5
Rectal,Surrey and Sussex,Surrey and Sussex,82.5
Myeloma,"Humber, Coast and Vale","Humber, Coast and Vale",82.5
Myeloma,Peninsula,Peninsula,82.5
Myeloma,Thames Valley,Thames Valley,82.5
Non-Hodgkin Lymphoma,Thames Valley,Thames Valley,82.4
Rectal,Thames Valley,Thames Valley,82.4
Cervix,West Midlands,West Midlands,82.4
Myeloma,Greater Manchester,Greater Manchester,82.2
Rectal,North East and Cumbria,North East and Cumbria,82.1
Non-Hodgkin Lymphoma,Surrey and Sussex,Surrey and Sussex,82.1
Myeloma,Lancashire and South Cumbria,Lancashire and South Cumbria,82
Myeloma,West Midlands,West Midlands,82
Rectal,Lancashire and South Cumbria,Lancashire and South Cumbria,82
Myeloma,Wessex,Wessex,82
Myeloma,West Midlands,West Midlands,82
Non-Hodgkin Lymphoma,East Midlands,East Midlands,81.9
Cervix,Cheshire and Merseyside,Cheshire and Merseyside,81.8
Rectal,Lancashire and South Cumbria,Lancashire and South Cumbria,81.8
Rectal,East Midlands,East Midlands,81.8
Cervix,North Central and North East London,North Central and North East London,81.6
Rectal,Wessex,Wessex,81.5
Rectal,West Midlands,West Midlands,81.4
Colorectal,Surrey and Sussex,Surrey and Sussex,81.4
Colorectal,Wessex,Wessex,81.4
Myeloma,Cheshire and Merseyside,Cheshire and Merseyside,81.3
Bladder,"Humber, Coast and Vale","Humber, Coast and Vale",81.3
Colorectal,North West and South West London,North West and South West London,81.3
Non-Hodgkin Lymphoma,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",81.2
Cervix,East of England,East of England,81.1
Kidney & Urinary Tract,North Central and North East London,North Central and North East London,81.1
Colorectal,Thames Valley,Thames Valley,81.1
Myeloma,"Humber, Coast and Vale","Humber, Coast and Vale",81
Rectal,South East London,South East London,81
Myeloma,Kent and Medway,Kent and Medway,80.9
Non-Hodgkin Lymphoma,North West and South West London,North West and South West London,80.9
Cervix,West Yorkshire and Harrogate,West Yorkshire and Harrogate,80.8
Myeloma,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",80.7
Rectal,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",80.7
Kidney & Urinary Tract,South East London,South East London,80.7
Colorectal,Peninsula,Peninsula,80.6
Rectal,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",80.6
Non-Hodgkin Lymphoma,Cheshire and Merseyside,Cheshire and Merseyside,80.5
Myeloma,Thames Valley,Thames Valley,80.5
Non-Hodgkin Lymphoma,Peninsula,Peninsula,80.5
Cervix,East Midlands,East Midlands,80.4
Kidney & Urinary Tract,Thames Valley,Thames Valley,80.4
Kidney & Urinary Tract,North Central and North East London,North Central and North East London,80.3
Non-Hodgkin Lymphoma,East of England,East of England,80.2
Rectal,Greater Manchester,Greater Manchester,80.2
Non-Hodgkin Lymphoma,"Humber, Coast and Vale","Humber, Coast and Vale",80.2
Non-Hodgkin Lymphoma,Kent and Medway,Kent and Medway,80.1
Cervix,Wessex,Wessex,80.1
Non-Hodgkin Lymphoma,West Midlands,West Midlands,80.1
Rectal,East Midlands,East Midlands,80
Bladder,Cheshire and Merseyside,Cheshire and Merseyside,80
Bladder,Kent and Medway,Kent and Medway,80
Colorectal,Surrey and Sussex,Surrey and Sussex,79.9
Colorectal,"Humber, Coast and Vale","Humber, Coast and Vale",79.9
Bladder,Peninsula,Peninsula,79.9
Kidney & Urinary Tract,Thames Valley,Thames Valley,79.9
Myeloma,East of England,East of England,79.7
Colon,North West and South West London,North West and South West London,79.7
Cervix,Greater Manchester,Greater Manchester,79.6
Myeloma,Surrey and Sussex,Surrey and Sussex,79.6
Colorectal,East of England,East of England,79.6
Colorectal,South East London,South East London,79.6
Non-Hodgkin Lymphoma,Wessex,Wessex,79.6
Myeloma,Greater Manchester,Greater Manchester,79.5
Colorectal,North West and South West London,North West and South West London,79.5
Myeloma,Lancashire and South Cumbria,Lancashire and South Cumbria,79.5
Colorectal,North Central and North East London,North Central and North East London,79.5
Colorectal,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",79.5
Kidney & Urinary Tract,West Yorkshire and Harrogate,West Yorkshire and Harrogate,79.4
Colorectal,Cheshire and Merseyside,Cheshire and Merseyside,79.3
Kidney & Urinary Tract,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",79.3
Colorectal,West Yorkshire and Harrogate,West Yorkshire and Harrogate,79.3
Colon,Surrey and Sussex,Surrey and Sussex,79.2
Kidney & Urinary Tract,Surrey and Sussex,Surrey and Sussex,79.1
Colorectal,West Midlands,West Midlands,79.1
Myeloma,West Yorkshire and Harrogate,West Yorkshire and Harrogate,79.1
Non-Hodgkin Lymphoma,North East and Cumbria,North East and Cumbria,79
Colon,Surrey and Sussex,Surrey and Sussex,79
Non-Hodgkin Lymphoma,East of England,East of England,79
Bladder,Lancashire and South Cumbria,Lancashire and South Cumbria,79
Colorectal,Kent and Medway,Kent and Medway,78.9
Non-Hodgkin Lymphoma,North Central and North East London,North Central and North East London,78.8
Rectal,North Central and North East London,North Central and North East London,78.8
Bladder,East of England,East of England,78.8
Colorectal,South East London,South East London,78.7
Colorectal,Wessex,Wessex,78.7
Colorectal,Lancashire and South Cumbria,Lancashire and South Cumbria,78.7
Bladder,North East and Cumbria,North East and Cumbria,78.7
Colorectal,North East and Cumbria,North East and Cumbria,78.7
Bladder,Surrey and Sussex,Surrey and Sussex,78.7
Cervix,North East and Cumbria,North East and Cumbria,78.6
Kidney & Urinary Tract,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",78.6
Colorectal,Thames Valley,Thames Valley,78.6
Colorectal,East Midlands,East Midlands,78.6
Non-Hodgkin Lymphoma,East Midlands,East Midlands,78.6
Kidney & Urinary Tract,"Humber, Coast and Vale","Humber, Coast and Vale",78.6
Colon,Wessex,Wessex,78.6
Colorectal,Greater Manchester,Greater Manchester,78.5
Bladder,North West and South West London,North West and South West London,78.5
Kidney & Urinary Tract,Greater Manchester,Greater Manchester,78.4
Myeloma,West Yorkshire and Harrogate,West Yorkshire and Harrogate,78.4
Kidney & Urinary Tract,South East London,South East London,78.3
Non-Hodgkin Lymphoma,North Central and North East London,North Central and North East London,78.3
Colon,Thames Valley,Thames Valley,78.3
Non-Hodgkin Lymphoma,Thames Valley,Thames Valley,78.3
Non-Hodgkin Lymphoma,West Yorkshire and Harrogate,West Yorkshire and Harrogate,78.3
Myeloma,Peninsula,Peninsula,78.2
Non-Hodgkin Lymphoma,South East London,South East London,78.2
Bladder,West Yorkshire and Harrogate,West Yorkshire and Harrogate,78.2
Non-Hodgkin Lymphoma,Greater Manchester,Greater Manchester,78.1
Colorectal,West Yorkshire and Harrogate,West Yorkshire and Harrogate,78.1
Non-Hodgkin Lymphoma,West Yorkshire and Harrogate,West Yorkshire and Harrogate,78.1
Bladder,East Midlands,East Midlands,78.1
Kidney & Urinary Tract,Cheshire and Merseyside,Cheshire and Merseyside,78
Myeloma,North East and Cumbria,North East and Cumbria,78
Kidney & Urinary Tract,Peninsula,Peninsula,78
Non-Hodgkin Lymphoma,Surrey and Sussex,Surrey and Sussex,78
Bladder,Thames Valley,Thames Valley,78
Non-Hodgkin Lymphoma,West Midlands,West Midlands,78
Kidney & Urinary Tract,West Yorkshire and Harrogate,West Yorkshire and Harrogate,78
Colorectal,Peninsula,Peninsula,77.9
Non-Hodgkin Lymphoma,Kent and Medway,Kent and Medway,77.9
Kidney & Urinary Tract,Wessex,Wessex,77.9
Cervix,Kent and Medway,Kent and Medway,77.8
Colorectal,Kent and Medway,Kent and Medway,77.8
Colorectal,"Somerset, Wiltshire, Avon and Gloucestershire","Somerset, Wiltshire, Avon and Gloucestershire",77.8
Colon,Wessex,Wessex,77.8
Kidney & Urinary Tract,Cheshire and Merseyside,Cheshire and Merseyside,77.8
Bladder,North Central and North East London,North Central and North East London,77.8
Kidney & Urinary Tract,North East and Cumbria,North East and Cumbria,77.7
Colon,South East London,South East London,77.7
Myeloma,South East London,South East London,77.7
Myeloma,Kent and Medway,Kent and Medway,77.7
Kidney & Urinary Tract,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick","South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",77.7
Bladder,West Midlands,West Midlands,77.7
Kidney & Urinary Tract,Kent and Medway,Kent and Medway,77.6
