OBJECTID,LAD17CD,LAD17NM,LAD17NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
1,E06000001,Hartlepool, ,447157,531476,-1.27023,54.67616,96610446.1146851,50252.108582242
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,54755053.5455933,35462.8614743527
3,E06000003,Redcar and Cleveland, ,464359,519597,-1.00611,54.56752,247200899.955948,78676.5213384448
4,E06000004,Stockton-on-Tees, ,444937,518183,-1.30669,54.55691,206524296.278351,86957.9556947382
5,E06000005,Darlington, ,428029,515649,-1.56835,54.53535,198347456.614197,91352.2790132464
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,80991692.2384338,59061.8267326121
7,E06000007,Warrington, ,362744,388456,-2.56167,53.39163,180561850.331902,71169.6408538529
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.7008,138951375.423401,55614.7454993181
9,E06000009,Blackpool, ,332763,436633,-3.02284,53.82161,36713308.6482239,31404.3702910592
10,E06000010,"Kingston upon Hull, City of", ,511894,431716,-0.3038,53.76979,70572689.2412567,40738.1478977591
11,E06000011,East Riding of Yorkshire, ,488051,443608,-0.66203,53.88122,2415624175.19112,335284.801855604
12,E06000012,North East Lincolnshire, ,523454,404574,-0.13927,53.52336,189330062.926514,76738.8466581586
13,E06000013,North Lincolnshire, ,497798,410996,-0.5241,53.58645,847047841.91243,171661.660062636
14,E06000014,York, ,460864,452589,-1.07375,53.96582,273223269.660004,84673.5610057205
15,E06000015,Derby, ,435609,335375,-1.47189,52.91464,77742868.1967621,39826.4954895643
16,E06000016,Leicester, ,458946,304594,-1.1304,52.63592,72123745.0696869,39948.4653332673
17,E06000017,Rutland, ,492992,308655,-0.6263,52.66765,394495682.332047,96120.993571927
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.95419,74072043.6136322,49465.8740401951
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.08154,2185026975.07314,285615.354341972
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.71417,292356335.225594,94663.2529581411
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.01707,93592714.3890762,51367.6262890456
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654,51.35604,348331429.998756,107905.218757551
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.47115,112848982.102295,63001.1335926732
24,E06000024,North Somerset, ,347613,166719,-2.75439,51.39707,375592445.8862,110720.547529784
25,E06000025,South Gloucestershire, ,367559,183196,-2.46922,51.54671,521478143.446804,114698.005759048
26,E06000026,Plymouth, ,249944,58255,-4.11299,50.40494,82124047.8637924,49239.9674798008
27,E06000027,Torbay, ,289730,64608,-3.55523,50.47088,63830616.145587,56301.4986642171
28,E06000028,Bournemouth, ,410069,93928,-1.85864,50.74486,47459893.2069206,40115.1274165359
29,E06000029,Poole, ,403393,93466,-1.95327,50.74078,63945488.7244568,52091.6230567067
30,E06000030,Swindon, ,418551,186564,-1.73367,51.57763,226858180.704857,84057.701087633
31,E06000031,Peterborough, ,517372,300777,-0.26874,52.59214,343637664.432648,96890.6874494172
32,E06000032,Luton, ,508606,222559,-0.42319,51.89102,43140508.4892426,31016.8124673774
33,E06000033,Southend-on-Sea, ,587776,186833,0.706906,51.54914,42201138.7312012,32648.0863112353
34,E06000034,Thurrock, ,562126,181586,0.334902,51.50994,163074141.004013,66832.6275244009
35,E06000035,Medway, ,578207,175196,0.563173,51.44771,192308480.902069,105186.921605183
36,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.4113,109022801.149361,57645.6569376735
37,E06000037,West Berkshire, ,450575,172095,-1.27364,51.44559,703324654.546806,142801.297629015
38,E06000038,Reading, ,470226,173154,-0.99071,51.45302,40367861.522316,30271.0177965016
39,E06000039,Slough, ,498920,179246,-0.57617,51.5035,31834150.7923584,37213.0686015525
40,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.48034,199267738.180954,101250.436138123
41,E06000041,Wokingham, ,476624,169902,-0.89935,51.42296,179224835.794807,75853.3255839442
42,E06000042,Milton Keynes, ,486408,242308,-0.7407,52.07241,309453050.373161,88704.3652894376
43,E06000043,Brighton and Hove, ,530279,106849,-0.15079,50.84649,83198871.0822525,48047.4017125956
44,E06000044,Portsmouth, ,465607,101357,-1.07023,50.80805,39045968.6656532,45745.842790066
45,E06000045,Southampton, ,442253,113608,-1.40025,50.92038,53209018.3643036,38114.6349875645
46,E06000046,Isle of Wight, ,447186,85950,-1.33362,50.6713,378885146.461674,108095.375476757
47,E06000047,County Durham, ,410381,532242,-1.8405,54.68513,2228898696.36382,261727.23963541
48,E06000049,Cheshire East, ,380510,363462,-2.29299,53.16793,1168284072.04211,235142.575004219
49,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.16336,913179348.245743,206542.057530444
50,E06000051,Shropshire, ,350227,302960,-2.73667,52.62212,3191320594.55035,469035.989961417
51,E06000052,Cornwall, ,212501,64494,-4.64249,50.45023,3578811810.99104,524173.635518492
52,E06000053,Isles of Scilly, ,91327,11447,-6.30217,49.92332,13082196.0444593,41649.4222534352
53,E06000054,Wiltshire, ,405209,158863,-1.92661,51.32883,3262215988.0585,348663.579001476
54,E06000055,Bedford, ,505721,256463,-0.45463,52.19628,474307254.305672,114048.415940728
55,E06000056,Central Bedfordshire, ,504615,234492,-0.47754,51.99903,711081855.431656,200555.083475235
56,E06000057,Northumberland, ,395323,600699,-2.07521,55.30037,5031951032.03711,421861.851574973
57,E07000004,Aylesbury Vale, ,477330,223021,-0.87746,51.90038,907506640.0093,201848.111139269
58,E07000005,Chiltern, ,495432,198692,-0.62112,51.6789,195932868.272881,71844.6224571492
59,E07000006,South Bucks, ,498198,185455,-0.58484,51.55944,143466199.154564,72109.6717042142
60,E07000007,Wycombe, ,482477,197052,-0.80883,51.6662,325045261.090424,95608.4379403771
61,E07000008,Cambridge, ,545420,257901,0.126436,52.20017,40335141.2142181,31034.3254667815
62,E07000009,East Cambridgeshire, ,555577,275765,0.283163,52.35788,654592051.231918,166387.319197083
63,E07000010,Fenland, ,536361,294959,0.009016,52.53544,546582391.275696,137517.575936497
64,E07000011,Huntingdonshire, ,521010,274271,-0.22467,52.35317,913689828.933723,193999.594574077
65,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.10805,899952589.51432,225604.793727418
66,E07000026,Allerdale, ,317516,532995,-3.28096,54.68523,1258706363.77803,198961.096821921
67,E07000027,Barrow-in-Furness, ,321750,474171,-3.19976,54.15737,75705073.0281525,81327.1762017688
68,E07000028,Carlisle, ,348444,565195,-2.80705,54.97868,1043163201.03758,179518.05511916
69,E07000029,Copeland, ,310871,508741,-3.37664,54.46619,738123150.605423,138204.388266157
70,E07000030,Eden, ,359636,526396,-2.62678,54.63107,2158230521.76152,234632.365088011
71,E07000031,South Lakeland, ,349265,489554,-2.78108,54.29907,1560867784.88441,235158.4646802
72,E07000032,Amber Valley, ,436166,348084,-1.46219,53.02884,266591152.047913,84941.2325633444
73,E07000033,Bolsover, ,448666,371548,-1.27228,53.23875,161095116.19873,82055.309225891
74,E07000034,Chesterfield, ,440049,373359,-1.40115,53.25575,65852602.5877533,40535.5999115145
75,E07000035,Derbyshire Dales, ,419697,358493,-1.70711,53.12326,797318484.197006,197107.817245527
76,E07000036,Erewash, ,443721,338063,-1.3509,52.9382,110675153.690033,56946.9913176958
77,E07000037,High Peak, ,410474,387660,-1.84398,53.38569,536153990.70076,135695.171411756
78,E07000038,North East Derbyshire, ,437369,362955,-1.44253,53.16243,276986517.630463,128715.03720514
79,E07000039,South Derbyshire, ,431434,325365,-1.53494,52.82492,337166337.826996,127940.437140962
80,E07000040,East Devon, ,313775,96055,-3.22381,50.75765,816646719.593868,165155.128343002
81,E07000041,Exeter, ,293236,92003,-3.51372,50.7178,47831514.4456539,30601.2005401837
82,E07000042,Mid Devon, ,288064,108911,-3.59212,50.86882,905934103.411455,203868.452750737
83,E07000043,North Devon, ,265110,132524,-3.92691,51.07613,1091708677.61926,199760.496824861
84,E07000044,South Hams, ,270677,54033,-3.81994,50.37192,894641124.977333,231771.721938123
85,E07000045,Teignbridge, ,283069,80251,-3.65396,50.6102,678768024.153856,132978.534246036
86,E07000046,Torridge, ,244206,114405,-4.21731,50.90802,987681183.600571,224263.427639697
87,E07000047,West Devon, ,256379,86998,-4.03357,50.66488,1164318238.7129,202854.918579782
88,E07000048,Christchurch, ,413093,96313,-1.8157,50.76625,50113589.9755096,43999.7602774835
89,E07000049,East Dorset, ,401685,109966,-1.9774,50.88917,355236609.939125,117922.625754157
90,E07000050,North Dorset, ,381794,113407,-2.26037,50.91982,607862639.357952,134135.444604953
91,E07000051,Purbeck, ,391183,88321,-2.12618,50.69445,403788934.00729,135562.850146077
92,E07000052,West Dorset, ,357765,99663,-2.60061,50.79497,1082919105.52616,236698.739755696
93,E07000053,Weymouth and Portland, ,368175,81510,-2.45134,50.6324,39975746.0447598,60222.8396383651
94,E07000061,Eastbourne, ,559351,99605,0.258699,50.77413,44817432.6117325,29403.6171229953
95,E07000062,Hastings, ,581599,110745,0.579429,50.86768,29779036.2142982,27757.4850275837
96,E07000063,Lewes, ,541474,105685,0.007671,50.83341,291391029.441166,93829.7452035876
97,E07000064,Rother, ,578730,119663,0.543064,50.94868,516144082.427834,134588.453030389
98,E07000065,Wealden, ,555048,117173,0.205153,50.93316,838181861.607674,167196.119442294
99,E07000066,Basildon, ,571548,190848,0.475055,51.59036,111935666.061012,48075.8456992574
100,E07000067,Braintree, ,577253,227335,0.575911,51.91634,610955993.464325,132982.075479156
101,E07000068,Brentwood, ,558560,196070,0.290091,51.64108,154224967.917984,62054.9933583239
102,E07000069,Castle Point, ,579490,187921,0.588084,51.5616,43326143.5613022,39529.2508969974
103,E07000070,Chelmsford, ,572115,206972,0.491163,51.73503,340809410.971527,92867.0651592762
104,E07000071,Colchester, ,596944,223692,0.859776,51.87701,335197675.77758,118875.530258796
105,E07000072,Epping Forest, ,548919,203758,0.154147,51.71279,338801854.14473,103190.224995852
106,E07000073,Harlow, ,545276,209589,0.103888,51.76614,30286724.1622391,23159.14096803
107,E07000074,Maldon, ,591460,212199,0.773857,51.77571,361665492.562531,148855.127113491
108,E07000075,Rochford, ,585981,191420,0.683473,51.59093,169700091.602272,104159.768967927
109,E07000076,Tendring, ,614203,222163,1.109183,51.85693,335831008.88903,135406.242688619
110,E07000077,Uttlesford, ,557832,228865,0.294485,51.93592,645587192.332802,137854.174930366
111,E07000078,Cheltenham, ,394925,222232,-2.07515,51.89861,47747749.6916199,31158.0615707428
112,E07000079,Cotswold, ,402125,208209,-1.97059,51.77255,1169264373.13527,277370.662960341
113,E07000080,Forest of Dean, ,367175,212759,-2.47755,51.81249,558982371.466415,165126.273183069
114,E07000081,Gloucester, ,384071,216449,-2.23263,51.84641,41336406.6114197,27226.1057862267
115,E07000082,Stroud, ,378806,202410,-2.3082,51.72001,472983420.32692,143187.482610623
116,E07000083,Tewkesbury, ,386347,226279,-2.19998,51.93485,411572435.107681,169338.531673067
117,E07000084,Basingstoke and Deane, ,454508,151423,-1.22021,51.25937,634713830.688435,121921.09813244
118,E07000085,East Hampshire, ,474404,129237,-0.93971,51.05765,514221440.011803,125010.450092046
119,E07000086,Eastleigh, ,447202,116802,-1.32943,50.94872,80096411.4633141,53040.4638687417
120,E07000087,Fareham, ,453774,106324,-1.23742,50.85393,73093648.1495247,45944.1378412611
121,E07000088,Gosport, ,458773,101094,-1.16725,50.80641,26185432.8626137,27069.8567378814
122,E07000089,Hart, ,477985,154240,-0.88321,51.28197,214645692.048714,66153.7601587685
123,E07000090,Havant, ,470177,108563,-1.004,50.8723,55146982.0467491,61574.805433799
124,E07000091,New Forest, ,428999,106521,-1.58936,50.85747,755202432.122913,167980.861791461
125,E07000092,Rushmoor, ,486022,153944,-0.76807,51.27815,38586227.7797394,26409.855911002
126,E07000093,Test Valley, ,434930,137329,-1.50214,51.13417,623791739.255394,157601.704382879
127,E07000094,Winchester, ,453115,125901,-1.24393,51.03002,661187568.815014,138498.365835363
128,E07000095,Broxbourne, ,534742,204251,-0.05073,51.7208,51540080.5357971,34360.7505245054
129,E07000096,Dacorum, ,500084,208745,-0.55098,51.76845,213584427.074303,93353.6642658874
130,E07000098,Hertsmere, ,519774,199352,-0.26899,51.68017,99208157.4872589,51545.6808298014
131,E07000099,North Hertfordshire, ,522192,230256,-0.22314,51.95738,373973113.762672,142401.338286742
132,E07000102,Three Rivers, ,507313,196418,-0.45005,51.65632,89167625.2220535,63334.9387389522
133,E07000103,Watford, ,510441,198197,-0.40429,51.6717,21477587.6379166,20711.0739987114
134,E07000105,Ashford, ,597640,140644,0.823374,51.13096,582414295.329048,121767.276336546
135,E07000106,Canterbury, ,616026,158096,1.096257,51.28103,308259129.782997,94957.0088428506
136,E07000107,Dartford, ,556167,172917,0.245276,51.43373,73579536.3939896,44173.2938463133
137,E07000108,Dover, ,628967,150940,1.276929,51.21174,314500825.334061,89624.6150245285
138,E07000109,Gravesham, ,566969,169115,0.398744,51.3965,99581649.6334991,50912.793561879
139,E07000110,Maidstone, ,580489,151670,0.584061,51.23566,391728986.809105,100353.36110241
140,E07000111,Sevenoaks, ,552776,155218,0.188936,51.27563,368021600.932228,112215.468856629
141,E07000112,Shepway, ,610318,134597,1.000796,51.07215,361353768.879059,126287.976737371
142,E07000113,Swale, ,593761,161976,0.77953,51.32387,377679766.239059,160575.936869396
143,E07000114,Thanet, ,631844,166753,1.328298,51.35253,105011135.683548,45410.1312149305
144,E07000115,Tonbridge and Malling, ,564014,153898,0.349306,51.26064,242786352.603241,91982.8697184655
145,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.10254,328115170.315277,117475.174619823
146,E07000117,Burnley, ,384886,430882,-2.2308,53.77406,110806590.181381,48196.0293199446
147,E07000118,Chorley, ,359189,419724,-2.61921,53.6724,202123053.3918,78281.0548357071
148,E07000119,Fylde, ,339562,433812,-2.91902,53.7971,165862356.090225,67404.2434462676
149,E07000120,Hyndburn, ,374407,428971,-2.38964,53.75648,71477986.272934,35522.0038338934
150,E07000121,Lancaster, ,356896,464988,-2.6603,54.07901,573639398.361176,161590.611614625
151,E07000122,Pendle, ,387637,443368,-2.18957,53.88636,168948803.156677,66241.8606304039
152,E07000123,Preston, ,352820,436429,-2.71817,53.82199,143390608.059494,61659.0544598349
153,E07000124,Ribble Valley, ,372687,447676,-2.4174,53.9245,580931064.626678,128515.302286403
154,E07000125,Rossendale, ,382827,420955,-2.26149,53.68478,137251287.586685,62308.1675795209
155,E07000126,South Ribble, ,352016,425840,-2.72873,53.72675,115152068.781097,63219.6045679817
156,E07000127,West Lancashire, ,342611,413268,-2.86893,53.61281,346615962.001541,106452.357789433
157,E07000128,Wyre, ,347227,445159,-2.80462,53.89991,285499969.206192,115762.991389938
158,E07000129,Blaby, ,454385,297994,-1.19887,52.57706,132141613.384705,79180.5089958533
159,E07000130,Charnwood, ,458365,316155,-1.13694,52.7399,276457214.672211,94422.7344146087
160,E07000131,Harborough, ,474549,293875,-0.90229,52.53766,591684985.768936,143062.07507007
161,E07000132,Hinckley and Bosworth, ,439538,301379,-1.41755,52.60877,298791275.372643,92282.2627609913
162,E07000133,Melton, ,477328,323472,-0.8544,52.80329,481880182.158157,117570.208798048
163,E07000134,North West Leicestershire, ,439111,316252,-1.42209,52.7425,279146809.43972,94585.4479237364
164,E07000135,Oadby and Wigston, ,461543,299379,-1.093,52.58875,24016298.7274857,22988.7445970106
165,E07000136,Boston, ,526851,343953,-0.11218,52.97794,365742174.091385,105553.849441651
166,E07000137,East Lindsey, ,534862,376106,0.020549,53.26483,1769163291.27403,203842.108882015
167,E07000138,Lincoln, ,496347,370096,-0.55848,53.21921,34840293.7093964,28557.9308098718
168,E07000139,North Kesteven, ,502135,354788,-0.4767,53.08058,923021814.611343,163992.489439832
169,E07000140,South Holland, ,532909,322928,-0.03058,52.78758,755083064.643509,138802.063009505
170,E07000141,South Kesteven, ,501406,328986,-0.49565,52.84885,941033065.404343,184740.27326861
171,E07000142,West Lindsey, ,499314,390326,-0.50774,53.40044,1159233112.50717,220702.160275246
172,E07000143,Breckland, ,591015,303330,0.818716,52.59421,1303486970.3045,205349.590810674
173,E07000144,Broadland, ,619865,315909,1.252332,52.69622,553695904.75856,166219.167747015
174,E07000145,Great Yarmouth, ,646760,315882,1.649496,52.6844,180683479.150467,77231.3991049788
175,E07000146,King's Lynn and West Norfolk, ,571220,315805,0.533258,52.71283,1438567223.25681,242691.693172342
176,E07000147,North Norfolk, ,611083,330845,1.132195,52.83378,959197183.105392,221653.537354795
177,E07000148,Norwich, ,622355,309773,1.284979,52.64013,38790892.2319031,34463.8843362906
178,E07000149,South Norfolk, ,628991,295823,1.373248,52.51218,909194618.735275,193994.098896034
179,E07000150,Corby, ,487862,290681,-0.7069,52.50697,80283236.3814697,52235.8847851966
180,E07000151,Daventry, ,467286,268437,-1.01447,52.30994,664909371.461586,145876.750462247
181,E07000152,East Northamptonshire, ,501344,287839,-0.5092,52.47909,508676401.391151,136889.096649574
182,E07000153,Kettering, ,483866,282852,-0.76773,52.43723,234756725.082794,79785.5620568984
183,E07000154,Northampton, ,476495,260539,-0.88121,52.23775,79729601.4542694,38186.2582256751
184,E07000155,South Northamptonshire, ,463000,247077,-1.08129,52.11844,631505508.45845,185663.787663567
185,E07000156,Wellingborough, ,487787,266827,-0.71425,52.29258,165339118.361656,60957.6059873944
186,E07000163,Craven, ,389513,461989,-2.16168,54.05376,1182058711.09645,173637.579041334
187,E07000164,Hambleton, ,443009,490546,-1.34049,54.30872,1310965050.93246,254304.813206193
188,E07000165,Harrogate, ,427473,464652,-1.58161,54.07708,1307930002.48747,212080.883577628
189,E07000166,Richmondshire, ,401039,495786,-1.98552,54.35761,1321131582.67361,195114.680203929
190,E07000167,Ryedale, ,475590,478890,-0.84277,54.20021,1509111729.87958,220191.905934533
191,E07000168,Scarborough, ,495797,495547,-0.5278,54.34649,818147362.2948,201937.736004582
192,E07000169,Selby, ,457551,426670,-1.12908,53.73327,605062947.526215,146311.131895873
193,E07000170,Ashfield, ,450035,355843,-1.25422,53.09747,109185931.465256,57518.805068207
194,E07000171,Bassetlaw, ,468073,384835,-0.9787,53.35604,639234055.099396,134311.46177888
195,E07000172,Broxtowe, ,449829,341893,-1.25944,52.9721,79733002.1938477,52595.8577024349
196,E07000173,Gedling, ,459184,347811,-1.11907,53.02434,121568417.371597,59710.422307898
197,E07000174,Mansfield, ,455047,363637,-1.17804,53.16703,77224120.2120972,45212.0443370162
198,E07000175,Newark and Sherwood, ,470624,357451,-0.94643,53.1096,650012439.661621,158427.572464072
199,E07000176,Rushcliffe, ,466606,335453,-1.01097,52.9124,409289722.295227,104508.058556984
200,E07000177,Cherwell, ,449301,221201,-1.28506,51.8872,588674174.629089,183492.153392164
201,E07000178,Oxford, ,452277,206368,-1.24405,51.75357,44908508.6952515,30248.0431201832
202,E07000179,South Oxfordshire, ,463890,191964,-1.07847,51.62288,676393293.269104,171757.086272773
203,E07000180,Vale of White Horse, ,435693,195197,-1.48543,51.65443,580313732.273499,146447.733261944
204,E07000181,West Oxfordshire, ,434343,215816,-1.50292,51.8399,712016077.376793,131607.121475369
