objectid,lad18cd,lad18nm,lad18nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E06000001,Hartlepool, ,447157,531476,-1.27023005,54.67620087,96512310.8872846,50488.3870806644
2,E06000002,Middlesbrough, ,451141,516887,-1.21098995,54.54470062,55229150.2504995,35506.4040537712
3,E06000003,Redcar and Cleveland, ,464359,519597,-1.00610995,54.56750107,248409004.038921,79150.7159376401
4,E06000004,Stockton-on-Tees, ,444937,518183,-1.30668998,54.55690002,205231499.925528,87566.6789198155
5,E06000005,Darlington, ,428029,515648,-1.56834996,54.53530121,198812770.766703,91926.8395447368
6,E06000006,Halton, ,354246,382146,-2.68852997,53.33420181,82869022.5454409,59006.9291201696
7,E06000007,Warrington, ,362744,388456,-2.56167006,53.39160156,178742906.640839,71969.4404446411
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.46359992,53.70080185,139386372.837704,55099.1506569996
9,E06000009,Blackpool, ,332763,436633,-3.02284002,53.82160187,33677587.228547,30020.5167576738
10,E06000010,"Kingston upon Hull, City of", ,511894,431716,-0.30379999,53.76979828,70882300.301851,41049.1402433141
11,E06000011,East Riding of Yorkshire, ,488051,443608,-0.66202998,53.88119888,2412638725.79748,341413.323934558
12,E06000012,North East Lincolnshire, ,523454,404574,-0.13926999,53.52339935,187577440.042762,76690.3134101064
13,E06000013,North Lincolnshire, ,497798,410996,-0.52410001,53.58639908,846889979.424494,175912.64013766
14,E06000014,York, ,460864,452589,-1.07375002,53.96580124,275337176.724155,84229.8090446397
15,E06000015,Derby, ,435609,335375,-1.47188997,52.91460037,78270268.2160132,40201.8369858699
16,E06000016,Leicester, ,458946,304594,-1.13039994,52.63589859,73589165.1551815,40830.2301887648
17,E06000017,Rutland, ,492992,308655,-0.62629998,52.66759872,392185479.476861,96395.3187509407
18,E06000018,Nottingham, ,456082,339969,-1.16666996,52.95420074,75870408.9551997,49574.8901430315
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931003,52.08150101,2180535922.18274,285426.725459637
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48940992,52.71419907,291802973.438348,93575.1938715029
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.01710129,92988650.0173692,51304.0331368382
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654008,51.35599899,348611816.210558,107062.696328699
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.47109985,109229499.036128,58497.2770286054
24,E06000024,North Somerset, ,347611,166719,-2.75442004,51.39709854,372650539.911643,109451.849162401
25,E06000025,South Gloucestershire, ,367559,183196,-2.46921992,51.54669952,523102227.147604,115975.507485914
26,E06000026,Plymouth, ,249941,58251,-4.11302996,50.4048996,82830940.1362032,49457.8132343675
27,E06000027,Torbay, ,289730,64608,-3.5552299,50.47090149,64631859.0789499,56364.7024996636
28,E06000028,Bournemouth, ,410069,93928,-1.85863996,50.74489975,47641308.6388269,40544.7437855927
29,E06000029,Poole, ,403393,93466,-2,50,64391815.8626154,51682.4425560779
30,E06000030,Swindon, ,418551,186564,-1.73367,51.57759857,227720526.640504,83649.2541969921
31,E06000031,Peterborough, ,517372,300777,-0.26874,52.59209824,342190181.804591,97196.0745365037
32,E06000032,Luton, ,508606,222559,-0.42319,51.89099884,44068117.7992668,30772.5559397539
33,E06000033,Southend-on-Sea, ,587776,186833,0.70690602,51.54909897,43982162.3890422,33030.2709201831
34,E06000034,Thurrock, ,562126,181586,0.33490199,51.50989914,162963039.442849,67693.7370706788
35,E06000035,Medway, ,578207,175194,0.56317198,51.4477005,191768443.97645,112964.81941276
36,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.41130066,108233672.335588,57917.0191370745
37,E06000037,West Berkshire, ,450575,172095,-1.27364004,51.4455986,701217777.186149,143114.430665935
38,E06000038,Reading, ,470226,173154,-0.99071002,51.45299911,41326311.0230767,30503.9475666706
39,E06000039,Slough, ,498920,179246,-0.57617003,51.50350189,32201925.6620175,37004.536781353
40,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67540997,51.4803009,197413883.654866,102626.060278227
41,E06000041,Wokingham, ,476624,169902,-0.89934999,51.42300034,179124859.588281,75874.0016677116
42,E06000042,Milton Keynes, ,486408,242308,-0.74070001,52.07239914,309327268.513174,87925.407811011
43,E06000043,Brighton and Hove, ,530279,106849,-0.15079001,50.8465004,86729953.5795698,47735.647112156
44,E06000044,Portsmouth, ,465607,101357,-1.07023001,50.80799866,38876378.4920708,45660.7895997401
45,E06000045,Southampton, ,442253,113608,-1.40024996,50.92039871,52690863.9817061,37879.7207376176
46,E06000046,Isle of Wight, ,447187,85949,-1.33360004,50.67129898,382079922.582461,108887.245179456
47,E06000047,County Durham, ,410381,532242,-1.8405,54.68510056,2231650115.37172,263693.376931473
48,E06000049,Cheshire East, ,380510,363462,-2.29298997,53.16790009,1168796057.5599,236392.416985265
49,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298004,53.16339874,916617825.452973,213813.976819579
50,E06000051,Shropshire, ,350227,302960,-2.73667002,52.62210083,3188264185.45655,469624.124702053
51,E06000052,Cornwall, ,212501,64494,-4.64248991,50.45019913,3586420431.9132,528294.797531875
52,E06000053,Isles of Scilly, ,91327,11447,-6.3021698,49.9233017,15088462.1572374,43030.7671127072
53,E06000054,Wiltshire, ,405209,158863,-1.92660999,51.3288002,3258075972.65081,348868.115783019
54,E06000055,Bedford, ,505721,256463,-0.45462999,52.19630051,475803430.167866,115931.402375608
55,E06000056,Central Bedfordshire, ,504615,234492,-0.47753999,51.99900055,709169826.97361,200740.568495412
56,E06000057,Northumberland, ,395323,600699,-2.07521009,55.30039978,5027825014.97437,424040.173920489
57,E07000004,Aylesbury Vale, ,477330,223020,-0.87746,51.90039825,910130643.095116,200943.781525174
58,E07000005,Chiltern, ,495432,198692,-0.62111998,51.67890167,195600689.757297,71936.7724854086
59,E07000006,South Bucks, ,498198,185455,-0.58484,51.55939865,143332504.927292,71578.9433380541
60,E07000007,Wycombe, ,482477,197052,-0.80883002,51.66619873,325616801.929628,96570.0162504642
61,E07000008,Cambridge, ,545420,257901,0.126436,52.20019913,40207020.3266675,30618.5641218904
62,E07000009,East Cambridgeshire, ,555577,275765,0.28316301,52.35789871,658326632.740805,166651.314884609
