OBJECTID,LAD21CD,LAD21NM,LAD21NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
1,E06000001,Hartlepool,,447160,531474,-1.27018,54.67614,96029731.0315857,51065.3135086548
2,E06000002,Middlesbrough,,451141,516887,-1.21099,54.54467,55231203.4967957,35500.3473326968
3,E06000003,Redcar and Cleveland,,464361,519597,-1.00608,54.56752,248342841.018921,78449.4289355813
4,E06000004,Stockton-on-Tees,,444940,518183,-1.30664,54.55691,205231497.04303,87566.5629413572
5,E06000005,Darlington,,428029,515648,-1.56835,54.53534,198812770.766724,91926.8395447382
6,E06000006,Halton,,354246,382146,-2.68853,53.33424,82892522.3463135,59055.4173413558
7,E06000007,Warrington,,362744,388456,-2.56167,53.39163,178742992.981346,71969.4867081409
8,E06000008,Blackburn with Darwen,,369490,422806,-2.4636,53.7008,139386372.837677,55099.1506570023
9,E06000009,Blackpool,,332819,436635,-3.02199,53.82164,33544256.6792297,29836.7031323092
10,E06000010,"Kingston upon Hull, City of",,511894,431650,-0.30382,53.7692,70877325.5365448,41041.0259037143
11,E06000011,East Riding of Yorkshire,,488056,443597,-0.66195,53.88112,2412608696.24837,340845.926403562
12,E06000012,North East Lincolnshire,,523465,404564,-0.13911,53.52327,187657860.986023,75953.9464840529
13,E06000013,North Lincolnshire,,497800,410993,-0.52407,53.58643,846504824.172562,177073.414168893
14,E06000014,York,,460864,452589,-1.07375,53.96582,275337173.711197,84247.0793266469
15,E06000015,Derby,,435609,335375,-1.47189,52.91464,78270268.2160492,40201.8369858684
16,E06000016,Leicester,,458946,304594,-1.1304,52.63592,73589165.1551971,40830.2301887663
17,E06000017,Rutland,,492992,308655,-0.6263,52.66765,391236502.735062,96479.8875935304
18,E06000018,Nottingham,,456082,339969,-1.16667,52.95419,75870408.9552002,49574.8901430337
19,E06000019,"Herefordshire, County of",,349434,242834,-2.73931,52.08154,2180535921.6058,285426.725560056
20,E06000020,Telford and Wrekin,,367035,313057,-2.48941,52.71417,291802973.438316,93575.1938714998
21,E06000021,Stoke-on-Trent,,389438,346652,-2.15888,53.01707,92988650.0173569,51304.0331368415
22,E06000022,Bath and North East Somerset,,366217,161999,-2.48654,51.35604,348611816.21056,107062.696328706
23,E06000023,"Bristol, City of",,359990,174846,-2.57742,51.47115,109332685.427834,63560.5257930019
24,E06000024,North Somerset,,347614,166718,-2.75438,51.39706,372310880.979977,109732.131493847
25,E06000025,South Gloucestershire,,367559,183198,-2.46922,51.54673,522989576.048332,116032.494045316
26,E06000026,Plymouth,,249945,58255,-4.11297,50.40494,82878635.1636992,49423.7522464011
27,E06000027,Torbay,,289730,64613,-3.55523,50.47092,64586473.2809744,56147.5606197803
28,E06000030,Swindon,,418551,186564,-1.73367,51.57763,227720526.640511,83649.2541969909
29,E06000031,Peterborough,,517372,300777,-0.26874,52.59214,341526539.430695,97208.3826482827
30,E06000032,Luton,,508606,222559,-0.42319,51.89102,44068117.7992706,30772.5559397546
31,E06000033,Southend-on-Sea,,587777,186837,0.706923,51.54917,44204786.1992645,33128.182767915
32,E06000034,Thurrock,,562123,181590,0.334861,51.50998,162740425.753487,68756.3253888292
33,E06000035,Medway,,578207,175198,0.563174,51.44772,191217828.310158,112723.919080566
34,E06000036,Bracknell Forest,,488169,168792,-0.73363,51.4113,108233672.335564,57917.0191370737
35,E06000037,West Berkshire,,450575,172095,-1.27364,51.44559,701217777.186142,143114.430665937
36,E06000038,Reading,,470226,173154,-0.99071,51.45302,41326311.0230942,30503.9475666732
37,E06000039,Slough,,498920,179246,-0.57617,51.5035,32201925.6620255,37004.5367813503
38,E06000040,Windsor and Maidenhead,,492079,176541,-0.67541,51.48034,197867256.121666,102785.912931044
39,E06000041,Wokingham,,476624,169902,-0.89935,51.42296,179124859.588287,75874.0016677131
40,E06000042,Milton Keynes,,486408,242308,-0.7407,52.07241,309327268.513161,87925.4078110089
41,E06000043,Brighton and Hove,,530279,106850,-0.15079,50.8465,85523816.9098053,48465.2595079761
42,E06000044,Portsmouth,,465619,101352,-1.07006,50.808,39179201.5992355,51822.3304973713
43,E06000045,Southampton,,442303,113700,-1.39952,50.9212,53090942.7962074,38059.1776022029
44,E06000046,Isle of Wight,,447183,85949,-1.33366,50.67129,381511432.225914,107978.588484264
45,E06000047,County Durham,,410381,532242,-1.8405,54.68513,2231988647.84576,263878.118178794
46,E06000049,Cheshire East,,380510,363462,-2.29299,53.16793,1168796057.55982,236392.416985265
47,E06000050,Cheshire West and Chester,,353097,363145,-2.70298,53.16336,916830429.661804,214192.150741633
48,E06000051,Shropshire,,350227,302960,-2.73667,52.62212,3188264185.4566,469624.12470206
49,E06000052,Cornwall,,212497,64493,-4.64254,50.45022,3575313951.67982,545642.943121173
50,E06000053,Isles of Scilly,,91327,11447,-6.30217,49.92332,13752661.9543321,40530.3598030739
51,E06000054,Wiltshire,,405209,158863,-1.92661,51.32883,3258221477.74877,348922.106721656
52,E06000055,Bedford,,505721,256463,-0.45463,52.19628,474719272.55294,115792.615220289
53,E06000056,Central Bedfordshire,,504615,234492,-0.47754,51.99903,709169826.973618,200740.568495412
54,E06000057,Northumberland,,395322,600699,-2.07523,55.30037,5027331191.83116,424724.673556209
55,E06000058,"Bournemouth, Christchurch and Poole",,410815,94066,-1.84807,50.74609,162067754.690022,94498.5164344831
56,E06000059,Dorset,,370871,99796,-2.41467,50.79697,2487596229.28313,388926.042009357
57,E06000060,Buckinghamshire,,482506,208561,-0.80569,51.76966,1572439224.26833,301381.02531839
58,E06000061,North Northamptonshire,,493590,281718,-0.62504,52.42546,993517603.335907,173357.257991634
59,E06000062,West Northamptonshire,,467187,263879,-1.01682,52.26898,1374390676.47778,214647.43532521
60,E07000008,Cambridge,,545420,257901,0.126436,52.20017,40207020.3266754,30618.5641218865
61,E07000009,East Cambridgeshire,,555576,275765,0.283149,52.35788,657742533.360123,166638.442876232
62,E07000010,Fenland,,536361,294959,0.009016,52.53544,548320875.846436,136403.379974395
63,E07000011,Huntingdonshire,,521008,274269,-0.2247,52.35315,911218575.238808,193568.986000984
64,E07000012,South Cambridgeshire,,543295,247586,0.091017,52.10805,898564128.722878,225220.831060765
65,E07000026,Allerdale,,317520,532997,-3.2809,54.68524,1255990168.01505,202110.367884699
66,E07000027,Barrow-in-Furness,,321741,474165,-3.1999,54.15731,74597901.8172607,85580.8164387654
67,E07000028,Carlisle,,348576,565154,-2.80498,54.97833,1041241339.79724,179473.925491952
68,E07000029,Copeland,,310871,508739,-3.37664,54.46617,740589422.153091,142438.948211678
69,E07000030,Eden,,359636,526396,-2.62678,54.63107,2159475601.99832,236152.716988384
70,E07000031,South Lakeland,,349265,489555,-2.78108,54.29908,1560618947.19102,239587.648754935
71,E07000032,Amber Valley,,436166,348084,-1.46219,53.02884,267681266.486084,85444.7262481982
72,E07000033,Bolsover,,448666,371548,-1.27228,53.23875,160954585.782211,82096.4194763555
73,E07000034,Chesterfield,,440049,373359,-1.40115,53.25575,65592701.8692932,41521.4567240287
74,E07000035,Derbyshire Dales,,419697,358493,-1.70711,53.12326,795379595.210716,197736.975829844
75,E07000036,Erewash,,443721,338063,-1.3509,52.9382,108863746.303848,57580.622577382
76,E07000037,High Peak,,410474,387660,-1.84398,53.38569,539851897.894226,133612.92951375
77,E07000038,North East Derbyshire,,437369,362955,-1.44253,53.16243,274688141.146515,129145.462960491
78,E07000039,South Derbyshire,,431443,325363,-1.5348,52.8249,336648443.411095,128744.963146114
79,E07000040,East Devon,,313790,96050,-3.22359,50.7576,818297422.401768,170025.4089923
80,E07000041,Exeter,,293239,92005,-3.51368,50.71782,46654313.0437069,30619.3308594926
81,E07000042,Mid Devon,,288064,108911,-3.59212,50.86882,906820123.649376,204276.477064197
82,E07000043,North Devon,,265110,132532,-3.92691,51.07621,1091493019.44393,198486.231712996
83,E07000044,South Hams,,270676,54036,-3.81996,50.37195,892129907.743185,234579.170889892
84,E07000045,Teignbridge,,283144,80205,-3.65289,50.60981,676040869.669392,132652.007507987
85,E07000046,Torridge,,244206,114334,-4.21728,50.90739,986348684.235382,225353.561440616
86,E07000047,West Devon,,256376,86990,-4.03361,50.66481,1167206933.63758,203142.602198138
87,E07000061,Eastbourne,,559339,99575,0.258516,50.77387,44422579.0416946,29568.7014120863
88,E07000062,Hastings,,581528,110694,0.578395,50.86724,29407592.2364349,27723.0916029145
89,E07000063,Lewes,,541474,105686,0.007671,50.83341,292456497.860046,94163.1853254397
90,E07000064,Rother,,578721,119666,0.542937,50.94871,515729497.578979,134081.699846951
91,E07000065,Wealden,,555048,117180,0.205156,50.93322,839411196.319878,169030.530068946
92,E07000066,Basildon,,571548,190848,0.475055,51.59036,110769952.632591,48910.4576814545
93,E07000067,Braintree,,577253,227335,0.575911,51.91634,612574968.507874,131727.891724061
94,E07000068,Brentwood,,558560,196070,0.290091,51.64108,153037244.153191,62499.6745087456
95,E07000069,Castle Point,,579490,187920,0.588084,51.56159,43416469.6584396,39592.4101348009
96,E07000070,Chelmsford,,572116,206972,0.491177,51.73503,340537513.556282,94187.1167627565
97,E07000071,Colchester,,596944,223693,0.859777,51.87702,334457052.005089,119135.190950263
98,E07000072,Epping Forest,,548919,203758,0.154147,51.71279,339301257.055405,101264.806748073
99,E07000073,Harlow,,545276,209589,0.103888,51.76614,29849413.0761337,22091.2206166716
100,E07000074,Maldon,,591413,212072,0.773106,51.77458,362473007.250893,146325.102714889
101,E07000075,Rochford,,585979,191417,0.683442,51.5909,167087306.824852,104166.929450854
102,E07000076,Tendring,,614190,222141,1.108981,51.85674,330776123.554947,136935.305492254
103,E07000077,Uttlesford,,557832,228865,0.294485,51.93592,645320729.848,138938.254981938
104,E07000078,Cheltenham,,394925,222232,-2.07515,51.89861,46538844.8123627,31000.6848909493
105,E07000079,Cotswold,,402125,208209,-1.97059,51.77255,1167648900.8812,275881.53107461
106,E07000080,Forest of Dean,,367175,212759,-2.47755,51.81249,556456397.217464,165365.647743673
107,E07000081,Gloucester,,384071,216449,-2.23263,51.84641,40597168.8924408,28016.8047040126
108,E07000082,Stroud,,378807,202410,-2.30818,51.72001,472511138.827713,142776.214299069
109,E07000083,Tewkesbury,,386347,226279,-2.19998,51.93485,413608560.425072,170195.507768741
110,E07000084,Basingstoke and Deane,,454508,151423,-1.22021,51.25937,634599233.280537,122971.049818635
111,E07000085,East Hampshire,,474404,129237,-0.93971,51.05765,513794826.423504,125516.333157328
112,E07000086,Eastleigh,,447202,116802,-1.32943,50.94872,77756128.4331474,54486.1417028277
113,E07000087,Fareham,,453774,106319,-1.23742,50.85388,73320624.5521927,46541.884298776
114,E07000088,Gosport,,458769,101088,-1.16731,50.80636,26229871.1596184,27059.0785666176
115,E07000089,Hart,,477985,154240,-0.88321,51.28197,213323430.307495,65754.7794881366
116,E07000090,Havant,,470178,108564,-1.00398,50.87231,55975394.0125771,62451.2469264612
117,E07000091,New Forest,,428748,106521,-1.59293,50.85748,755100919.747822,168150.420175621
118,E07000092,Rushmoor,,486022,153944,-0.76807,51.27815,39413424.6417465,26427.419434277
119,E07000093,Test Valley,,434930,137329,-1.50214,51.13417,626217820.387749,158135.341128813
120,E07000094,Winchester,,453115,125901,-1.24393,51.03002,660893003.930145,142796.070019979
121,E07000095,Broxbourne,,534742,204251,-0.05073,51.7208,51741960.7321396,34985.1175302326
122,E07000096,Dacorum,,500084,208745,-0.55098,51.76845,214795770.022247,93212.9647855771
123,E07000098,Hertsmere,,519774,199352,-0.26899,51.68017,99202699.2589111,52255.2330688981
124,E07000099,North Hertfordshire,,522192,230256,-0.22314,51.95738,372012846.702461,142748.30331415
125,E07000102,Three Rivers,,507313,196418,-0.45005,51.65632,88926530.028038,64616.3511846815
126,E07000103,Watford,,510441,198197,-0.40429,51.6717,22713922.5201874,21681.0689271707
127,E07000105,Ashford,,597640,140644,0.823374,51.13096,582956339.772667,122616.908222331
128,E07000106,Canterbury,,616032,158096,1.096342,51.28102,308421124.624001,95795.9277531576
129,E07000107,Dartford,,556167,172917,0.245276,51.43373,72794252.8754654,44121.0401128295
130,E07000108,Dover,,628964,150942,1.276887,51.21176,313013710.192039,93876.071655382
131,E07000109,Gravesham,,566969,169114,0.398744,51.39649,95972043.5149918,50003.1457830652
132,E07000110,Maidstone,,580489,151670,0.584061,51.23566,392203482.572571,101298.680377461
133,E07000111,Sevenoaks,,552776,155218,0.188936,51.27563,370530445.486061,111493.944282884
134,E07000112,Folkestone and Hythe,,610318,134595,1.000795,51.07213,360190618.483902,127916.665403754
135,E07000113,Swale,,593583,161818,0.776893,51.32251,372073998.326912,163246.837222806
136,E07000114,Thanet,,631839,166752,1.328226,51.35252,104353853.642616,46248.5398994938
137,E07000115,Tonbridge and Malling,,564014,153898,0.349306,51.26064,243613407.557228,91656.6902734208
138,E07000116,Tunbridge Wells,,573139,136599,0.471632,51.10254,327429439.059631,117002.359413129
139,E07000117,Burnley,,384886,430882,-2.2308,53.77406,111744597.970947,48840.1303004996
140,E07000118,Chorley,,359189,419724,-2.61921,53.6724,202983727.285568,77347.7464790319
141,E07000119,Fylde,,339554,433811,-2.91914,53.79709,163638816.644257,67395.7785766532
142,E07000120,Hyndburn,,374407,428971,-2.38964,53.75648,73415839.3483887,36632.7068267533
143,E07000121,Lancaster,,356896,464988,-2.6603,54.07901,580197926.12175,167796.931150214
144,E07000122,Pendle,,387637,443368,-2.18957,53.88636,166912809.701309,66104.8783597392
145,E07000123,Preston,,352825,436432,-2.71809,53.82202,142889484.479782,61284.8615313238
146,E07000124,Ribble Valley,,372687,447676,-2.4174,53.9245,582688304.384064,127823.438886349
147,E07000125,Rossendale,,382827,420955,-2.26149,53.68478,136992197.340469,62470.7413737989
148,E07000126,South Ribble,,352017,425840,-2.72871,53.72675,115177713.236862,66546.2853353254
149,E07000127,West Lancashire,,342611,413270,-2.86893,53.61283,347370097.918755,108677.656853449
150,E07000128,Wyre,,347295,445159,-2.80359,53.89991,286086072.693558,114180.136996771
151,E07000129,Blaby,,454385,297994,-1.19887,52.57706,130075520.505974,80278.7476985504
152,E07000130,Charnwood,,458365,316155,-1.13694,52.7399,275627201.428268,93463.6246503569
153,E07000131,Harborough,,474549,293875,-0.90229,52.53766,595940981.590088,142557.388323314
154,E07000132,Hinckley and Bosworth,,439538,301379,-1.41755,52.60877,300065242.895699,93517.8416562169
155,E07000133,Melton,,477328,323472,-0.8544,52.80329,484033976.370895,116588.575160207
156,E07000134,North West Leicestershire,,439111,316252,-1.42209,52.7425,278295763.715363,95775.8668063787
157,E07000135,Oadby and Wigston,,461543,299379,-1.093,52.58875,23221816.1054306,23050.2510544195
158,E07000136,Boston,,526851,343953,-0.11218,52.97794,365480950.676804,105055.934829839
159,E07000137,East Lindsey,,534861,376064,0.020516,53.26446,1772840647.75974,207037.21208444
160,E07000138,Lincoln,,496347,370096,-0.55848,53.21921,34776950.2810211,28546.9242862253
161,E07000139,North Kesteven,,502135,354788,-0.4767,53.08058,921048722.357071,163501.578604876
162,E07000140,South Holland,,532910,322928,-0.03057,52.78758,755106074.991089,141550.212051868
163,E07000141,South Kesteven,,501406,328986,-0.49565,52.84885,942016773.32338,184694.096770289
164,E07000142,West Lindsey,,499314,390326,-0.50774,53.40044,1158109574.94255,221129.390113854
165,E07000143,Breckland,,591015,303330,0.818716,52.59421,1301635291.91696,206994.718333475
166,E07000144,Broadland,,619864,315909,1.252317,52.69622,551971935.450211,166558.484557316
167,E07000145,Great Yarmouth,,646761,315881,1.64951,52.68439,180470367.845795,76390.9780577267
168,E07000146,King's Lynn and West Norfolk,,571219,315805,0.533243,52.71283,1437543521.68024,243140.331061228
